公司名稱,職缺名稱,徵才網址,薪水區間,工作性質,工作地點,管理責任,出差外派,上班時段,休假制度,可上班日,需求人數,接受身份,工作經歷,學歷要求,科系要求,語文條件,擅長工具
采易資訊系統股份有限公司,全區專案業務,http://www.104.com.tw/job/6z0vo?jobsource=hotjob_chr,"月薪 30,000~50,000元",全職,台中市西屯區黎明路二段895之一號,不需負擔管理責任,需出差，一年累積時間未定,日班，09:00~18:00，需輪班,週休二日,一個月內,1 人,上班族、外籍人士、二度就業,2年以上,專科、大學、碩士,不拘,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Linux、Vmware、Firewall、Security、TCP/IP
叡揚資訊股份有限公司,產品輔導師(20051801A),http://www.104.com.tw/job/6y1f8?jobsource=hotjob_chr,"月薪 28,000~40,000元",全職,台北市中山區德惠街9號5樓,不需負擔管理責任,無需出差外派,日班，08:30~17:30,週休二日,不限,1 人,上班族、應屆畢業生、原住民【相關法令】,不拘,專科以上,資訊工程相關、資訊管理相關,不拘,Excel、PowerPoint、Word
利頡資訊科技有限公司,"高級前端工程師 **月薪60,000~80,000**",http://www.104.com.tw/job/6gia2?jobsource=hotjob_chr,"月薪 60,000~80,000元",全職,台北市中正區忠孝東路一段9號4樓,不需負擔管理責任,無需出差外派,日班，10點開始,週休二日,不限,2至3 人,上班族、應屆畢業生、原住民【相關法令】,2年以上,不拘,不拘,不拘,HTML、JavaScript
中國龍資訊科技有限公司,C# .NET Web 工程師,http://www.104.com.tw/job/6hn2m?jobsource=hotjob_chr,"月薪 50,000~75,000元",全職,新北市汐止區新台五路1段75號19樓之4,不需負擔管理責任,需出差，一年累積時間約一個月以下,日班,週休二日,不限,2至4 人,上班族,2年以上,專科以上,資訊工程相關、資訊管理相關,英文 -- 聽 /略懂、說 /不會、讀 /中等、寫 /中等,ASP.NET、C#、jQuery
星寰資訊有限公司,台中｜線上文字客服人員｜內勤/無業績壓力/歡迎應屆畢業生 / 無經驗亦可,http://www.104.com.tw/job/6x4sj?jobsource=hotjob_chr,"月薪 28,000~35,000元",全職,台中市西屯區惠來里市政路402號28樓之1,不需負擔管理責任,無需出差外派,日班/晚班/大夜班，需輪班,依公司規定,一週內,不限,上班族、應屆畢業生、原住民【相關法令】、二度就業,不拘,專科、大學,文書管理相關、資訊管理相關、企業管理相關,不拘,Excel、Word、中文打字50~75
利頡資訊科技有限公司,"資深後端工程師 **月薪80,000~100,000**",http://www.104.com.tw/job/5sl35?jobsource=hotjob_chr,"月薪 80,000~100,000元",全職,台北市中正區忠孝東路一段9號4樓,不需負擔管理責任,無需出差外派,日班，10點開始,週休二日,不限,2至3 人,上班族、應屆畢業生、原住民【相關法令】,2年以上,不拘,不拘,不拘,不拘
財團法人國家同步輻射研究中心,軟體設計師/MIS程式設計師 (資訊室),http://www.104.com.tw/job/6uv8v?jobsource=hotjob_chr,待遇面議 (經常性薪資達4萬元或以上) ,全職,新竹市新竹科學園區新安路101號,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1 人,上班族,3年以上,大學、碩士,資訊管理相關、資訊工程相關、工程學科類,不拘,不拘
采易資訊系統股份有限公司,全區系統工程師,http://www.104.com.tw/job/jijb?jobsource=hotjob_chr,"月薪 40,000~50,000元",全職,台中市西屯區黎明路二段895之一號,不需負擔管理責任,需出差，一年累積時間未定,日班，09:00~18:00,週休二日,一個月內,1至2 人,上班族、外籍人士、二度就業,2年以上,專科、大學、碩士,不拘,英文 -- 聽 /略懂、說 /略懂、讀 /中等、寫 /中等,Linux、Windows Server 2008、Windows Server 2012、Microsoft Exchange、Vmware、DHCP、DNS、Firewall、FTP、HTTP、Hubs、Hubs/ Routers、IIS、Intrusion、iptables、LDAP、Routers、SAN、Security、Sniffer、ssh、TCP/IP、VLAN、VPN、VERITAS
日商_亞洲藏壽司股份有限公司,MIS資訊人員(日文),http://www.104.com.tw/job/5yliw?jobsource=hotjob_chr,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市中山區中山北路三段32號6樓,不需負擔管理責任,無需出差外派,日班，需輪班,依公司規定,一個月內,1 人,上班族,3年以上,大學以上,資訊管理相關、資訊工程相關、工業管理相關,不拘,Excel、Outlook、PowerPoint、Word
得利科技資訊有限公司,★1.『  電話行銷人員』 2.『廣告seo 關鍵字 』 ★(底薪+績效獎金) 無經驗可,http://www.104.com.tw/job/6e6ay?jobsource=hotjob_chr,"月薪 30,000~80,000元",全職,新北市中和區中正路,不需負擔管理責任,無需出差外派,晚班，13:00-22:00,依公司規定,一週內,1至6 人,上班族、應屆畢業生、日間就讀中、原住民【相關法令】,不拘,不拘,不拘,中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通,不拘
資策會_財團法人資訊工業策進會,【資訊處】資訊安全管理工程師,http://www.104.com.tw/job/6rkp4?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市大安區和平東路二段106號10樓,不需負擔管理責任,無需出差外派,日班，09:00~18:00,週休二日,一個月內,1 人,上班族,3年以上,大學、碩士,資訊工程相關、資訊管理相關、通信學類,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,Excel、PowerPoint、Visio
仁大資訊股份有限公司,駐點資訊工程師/中科,http://www.104.com.tw/job/5mmiv?jobsource=2018indexpoc,"月薪 26,500~28,000元",全職,台中市西屯區依實際分配地點而定 (中部科學園區),不需負擔管理責任,無需出差外派,日班，08:30-17:30,週休二日,兩週內,1至2 人,應屆畢業生、夜間就讀中、原住民【相關法令】,不拘,專科、大學,資訊工程相關、資訊管理相關,不拘,不拘
仁大資訊股份有限公司,駐點資訊工程師/竹科,http://www.104.com.tw/job/6k4eg?jobsource=2018indexpoc,"月薪 26,500~28,000元",全職,新竹市依實際分配地點而定 (新竹科學園區),不需負擔管理責任,無需出差外派,日班，08:30-17:30,週休二日,兩週內,1至2 人,應屆畢業生、夜間就讀中、原住民【相關法令】,不拘,專科、大學,資訊工程相關、資訊管理相關,不拘,不拘
典匠資訊股份有限公司,資訊人員,http://www.104.com.tw/job/6xlqe?jobsource=2018indexpoc,"月薪 28,000~33,000元",全職,台北市大安區信義路四段380號8樓之一,不需負擔管理責任,無需出差外派,日班,週休二日,兩週內,1 人,上班族、原住民【相關法令】,1年以上,專科、大學、碩士,資訊工程相關、資訊管理相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Github、PHP、Visual Studio、Excel、PowerPoint、Word
台灣奧佳華國際有限公司,資訊人員,http://www.104.com.tw/job/6jl85?jobsource=2018indexpoc,"月薪 38,000~48,000元",全職,新北市板橋區三民路二段37號9樓之1,不需負擔管理責任,無需出差外派,日班，09:00-18:00,週休二日,一週內,1 人,上班族,3年以上,大學以上,資訊管理相關、資訊工程相關,不拘,不拘
宜誠資訊股份有限公司,MIS資訊人員(龍潭區),http://www.104.com.tw/job/6r10h?jobsource=2018indexpoc,"月薪 32,000~38,000元",全職,桃園市龍潭區,不需負擔管理責任,需外派，一年累積時間未定,日班，08:00~17:00,週休二日,不限,1 人,上班族,2年以上,專科,資訊管理相關、資訊工程相關、工業工程相關,不拘,Windows 7、Windows 10
樂威科技股份有限公司,資訊專員,http://www.104.com.tw/job/6v82t?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台南市歸仁區和順路二段309號1樓,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1 人,上班族,3年以上,大學以上,資訊管理相關、資訊工程相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Microsoft Exchange、Cisco、DNS、Firewall、SAP
三竹資訊股份有限公司,資訊源研發工程師,http://www.104.com.tw/job/spu1?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市中山區新生北路二段39號11F,不需負擔管理責任,無需出差外派,日班，08:30~18:00,週休二日,可年後上班,2至4 人,上班族、原住民【相關法令】,不拘,大學以上,數學及電算機科學學科類、資訊工程相關,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,不拘
菁華工業股份有限公司,資訊工程師,http://www.104.com.tw/job/6ya96?jobsource=2018indexpoc,"月薪 32,000~38,000元",全職,台北市內湖區瑞光路258巷2號9樓 (內湖科技園區),不需負擔管理責任,無需出差外派,日班，09:00~18:00,週休二日,一週內,1 人,上班族,2年以上,專科、大學、碩士,資訊管理相關、資訊工程相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Excel、Outlook、PowerPoint、Word
釆力旺資訊有限公司,資訊人員,http://www.104.com.tw/job/6yjwy?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台中市西屯區,管理人數未定,無需出差外派,日班，09:00~06:00,週休二日,不限,不限,上班族、應屆畢業生、外籍人士、原住民【相關法令】、二度就業,2年以上,專科以上,資訊工程相關、資訊管理相關,不拘,DOS、Linux、UNIX、Android、Windows 10、Github、Git、PHP、Database Management、MS SQL、MySQL、Vmware、HTML、JavaScript、Web Master/Developer、jQuery、CSS
仁大資訊股份有限公司,資訊人員 / 內湖-潭美,http://www.104.com.tw/job/6ygq1?jobsource=2018indexpoc,"月薪 26,000~30,000元",全職,台北市內湖區潭美街,不需負擔管理責任,無需出差外派,日班，09:00-18:00,依公司規定,兩週內,1至2 人,上班族、應屆畢業生、原住民【相關法令】,不拘,大學,不拘,不拘,Excel、Word
安碁資訊股份有限公司,【IT】資訊安全顧問-2000340,http://www.104.com.tw/job/6xqxn?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市信義區,不需負擔管理責任,需出差，一年累積時間約三個月以下,日班,依公司規定,一個月內,1 人,上班族,3年以上,大學、碩士,資訊管理相關、資訊工程相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘
東宜資訊股份有限公司,派遣{中國信託-南港總行}-資訊助理,http://www.104.com.tw/job/6y4db?jobsource=2018indexpoc,"月薪 25,700元",全職,台北市南港區經貿二路上,不需負擔管理責任,無需出差外派,日班，AM 8:50~PM 5:30,週休二日,一週內,派遣,上班族、應屆畢業生、夜間就讀中、原住民【相關法令】,不拘,專科、大學,商業及管理學科類、數學及電算機科學學科類,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,Excel、Outlook、PowerPoint、Word、中文打字20~50
仁大資訊股份有限公司,駐點資訊工程師(高雄),http://www.104.com.tw/job/3t94d?jobsource=2018indexpoc,"月薪 28,000~31,000元",全職,高雄市前鎮區新生路248之6號,不需負擔管理責任,無需出差外派,日班，09:00~18:00,依公司規定,一個月內,1至2 人,上班族、應屆畢業生、原住民【相關法令】,1年以上,高中、專科、大學,不拘,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,不拘
世福細胞醫學科技股份有限公司,資訊管理師,http://www.104.com.tw/job/6f9ck?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,新竹縣竹北市生醫路二段16號1樓,不需負擔管理責任,無需出差外派,日班，0800-1700、0830-1730,依公司規定,兩週內,1 人,上班族,3年以上,專科、大學、碩士,資訊管理相關、資訊工程相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Windows 2000、Windows XP、Windows 7、Windows 8、Windows 10、Database Management、Microsoft Exchange、HTML、XHTML、DNS、FTP、HTTP、LAN、NetWare、PPPoE、Security、TCP/IP、VLAN、VPN、WAP、Adobe Acrobat、Excel、Internet Explorer、Outlook、PowerPoint、Word、鼎新
醫療財團法人好心肝基金會好心肝診所,資訊人員,http://www.104.com.tw/job/6rws7?jobsource=2018indexpoc,"月薪 50,000~120,000元",全職,台北市中正區公園路30-1號7樓(肝病防治學術基金會),不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1至2 人,上班族,2年以上,大學、碩士,資訊工程相關,不拘,Linux、C#、Java
泛太資訊科技開發股份有限公司,泛太資訊菁英培訓班,http://www.104.com.tw/job/6nwct?jobsource=2018indexpoc,"月薪 28,000~31,000元",全職,台北市大安區光復南路102號7樓,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,不限,應屆畢業生,不拘,大學,資訊管理相關、一般數學相關,不拘,不拘
